Desagregación,Código subregión,Subregión,Código entidad,Entidad,Pilar,Número ODS,Nombre ODS,Número meta,Nombre meta,Número indicador,Indicador,Valor,Numerador,Denominador,Año,Fuente,Unidad de medida
Municipal,SR07,Oriente,05321,Guatapé,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,6.616541353,44,665,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR01,Valle de Aburrá,05631,Sabaneta,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,99.94546446,5498,5501,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR03,Magdalena Medio,05579,Puerto Berrío,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,31.17499302,1117,3583,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR07,Oriente,05376,La Ceja del Tambo,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,12.95202952,702,5420,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR08,Suroeste,05847,Urrao,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,6.606170599,182,2755,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR08,Suroeste,05861,Venecia,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,9.394572025,90,958,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR06,Occidente,05138,Cañasgordas,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,7.53194351,112,1487,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR06,Occidente,05628,Sabanalarga,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,0.946745562,8,845,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR08,Suroeste,05353,Hispania,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,5.150214592,24,466,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR09,Urabá,05490,Necoclí,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,9.954637097,395,3968,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR09,Urabá,05045,Apartadó,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,66.27057477,7529,11361,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR08,Suroeste,05364,Jardín,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,4.056291391,49,1208,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR08,Suroeste,05282,Fredonia,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,5.483704087,106,1933,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR02,Bajo Cauca,05250,El Bagre,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,7.207778482,341,4731,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR02,Bajo Cauca,05120,Cáceres,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,1.071296638,29,2707,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR06,Occidente,05306,Giraldo,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,0.213219616,1,469,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
Municipal,SR04,Nordeste,05031,Amalfi,Personas,4,Educación de calidad,4.3,Igualdad de acceso a educación técnica- vocacional y superior,4.3.1.C,Cobertura en educación superior,12.169967,295,2424,2013,MinEducación - Sistema Nacional de Información de Educación Superior (SNIES)- DANE - Censo Nacional de Población y Vivienda (CNPV),Porcentaje
