,index,Código entidad,Entidad,Indicador,Valor,Año
0,0,5091,Betania,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.811121,2017
1,1,5368,Jericó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),4.60921371,2017
2,2,5044,Anzá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.44680236,2017
3,3,5086,Belmira,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),4.360847696,2017
4,4,5761,Sopetrán,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.95699666,2017
5,5,5591,Puerto Triunfo,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),20.57997807,2017
6,6,5284,Frontino,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),0.316074983,2017
7,7,5890,Yolombó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.19132786,2017
8,8,5206,Concepción,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),7.621919679,2017
9,9,5172,Chigorodó,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),34.19369633,2017
10,10,5113,Buriticá,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),16.92634753,2017
11,11,5847,Urrao,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.606712669,2017
12,12,5697,El Santuario,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.515264072,2017
13,13,5147,Carepa,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.35550721,2017
14,14,5873,Vigía del Fuerte,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),35.68775244,2017
15,15,5842,Uramita,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),5.050590119,2017
16,16,5543,Peque,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.87717315,2017
17,17,5411,Liborina,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.569677679,2017
18,18,5652,San Francisco,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),27.41900629,2017
19,19,5579,Puerto Berrío,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),26.33934629,2017
20,20,5353,Hispania,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.1779661,2017
